degree,order,value,amplitude,power,real,imag,harmonic
5,-1,(-1.2909792601002008e-06+4.139007000286762e-07j),1.3557069150421452e-06,1.83794123949309e-12,-1.2909792601002008e-06,4.139007000286762e-07,l=5 m=-1
5,0,(-2.43445275519957e-09+0j),2.43445275519957e-09,5.926560217298778e-18,-2.43445275519957e-09,0.0,l=5 m=0
5,1,(1.2909792601002014e-06+4.1390070002867473e-07j),1.3557069150421452e-06,1.83794123949309e-12,1.2909792601002014e-06,4.1390070002867473e-07,l=5 m=1
5,2,(-1.796903725694895e-09-2.0213434725295325e-07j),2.0214233401832705e-07,4.08615232023769e-14,-1.796903725694895e-09,-2.0213434725295325e-07,l=5 m=2
5,3,(-1.9216458052122256e-07+5.350188055802042e-07j),5.684824960641847e-07,3.2317234833136584e-13,-1.9216458052122256e-07,5.350188055802042e-07,l=5 m=3
5,4,(-3.7301287333837446e-09+1.794407496457666e-08j),1.8327675430942186e-08,3.3590368670196185e-16,-3.7301287333837446e-09,1.794407496457666e-08,l=5 m=4
5,5,(3.7156609992959465e-07+2.5624506959976003e-06j),2.5892498790258687e-06,6.704214936035476e-12,3.7156609992959465e-07,2.5624506959976003e-06,l=5 m=5
6,-6,(0.001453110761347838-1.993258771738657e-06j),0.0014531121284420635,2.111534857825424e-06,0.001453110761347838,-1.993258771738657e-06,l=6 m=-6
6,-5,(6.371817200022093e-10-2.958266120708025e-08j),2.9589522548314224e-08,8.755398446371959e-16,6.371817200022093e-10,-2.958266120708025e-08,l=6 m=-5
6,-4,(0.00012363129575745094-6.797596544876968e-08j),0.00012363131444499887,1.5284701911398185e-08,0.00012363129575745094,-6.797596544876968e-08,l=6 m=-4
6,-3,(-1.0116441011682699e-09-7.911454729823701e-08j),7.91210150212471e-08,6.26013501799241e-15,-1.0116441011682699e-09,-7.911454729823701e-08,l=6 m=-3
6,-2,(0.00019776592072560207-9.42798319524996e-08j),0.00019776594319834706,3.9111368289131835e-08,0.00019776592072560207,-9.42798319524996e-08,l=6 m=-2
6,-1,(4.806450312476051e-10-4.918448702821757e-08j),4.9186835473274404e-08,2.419344783874965e-15,4.806450312476051e-10,-4.918448702821757e-08,l=6 m=-1
6,0,(3.500078827295905e-05+0j),3.500078827295905e-05,1.2250551797285077e-09,3.500078827295905e-05,0.0,l=6 m=0
6,1,(-4.806450312474645e-10-4.91844870282176e-08j),4.918683547327443e-08,2.419344783874968e-15,-4.806450312474645e-10,-4.91844870282176e-08,l=6 m=1
6,2,(0.00019776592072560053+9.427983195244976e-08j),0.00019776594319834552,3.9111368289131226e-08,0.00019776592072560053,9.427983195244976e-08,l=6 m=2
6,3,(1.0116441011682269e-09-7.911454729823691e-08j),7.9121015021247e-08,6.260135017992393e-15,1.0116441011682269e-09,-7.911454729823691e-08,l=6 m=3
6,4,(0.00012363129575745094+6.797596544875871e-08j),0.00012363131444499887,1.5284701911398185e-08,0.00012363129575745094,6.797596544875871e-08,l=6 m=4
6,5,(-6.371817200021715e-10-2.958266120708027e-08j),2.9589522548314244e-08,8.755398446371971e-16,-6.371817200021715e-10,-2.958266120708027e-08,l=6 m=5
6,6,(0.001453110761347838+1.9932587717386535e-06j),0.0014531121284420635,2.111534857825424e-06,0.001453110761347838,1.9932587717386535e-06,l=6 m=6
7,-7,(-3.4305240916638876e-07+5.6672209726209e-07j),6.624642563640738e-07,4.3885889096000525e-13,-3.4305240916638876e-07,5.6672209726209e-07,l=7 m=-7
7,-6,(3.1680945800276896e-09+1.6327267491050305e-08j),1.663179145469029e-08,2.7661648699230893e-16,3.1680945800276896e-09,1.6327267491050305e-08,l=7 m=-6
7,-5,(9.071346766068382e-08+8.221534392881463e-08j),1.2242669640384487e-07,1.4988295992359202e-14,9.071346766068382e-08,8.221534392881463e-08,l=7 m=-5
7,-4,(5.460107009444958e-10-1.2113811915721304e-07j),1.2113934967892426e-07,1.4674742040632686e-14,5.460107009444958e-10,-1.2113811915721304e-07,l=7 m=-4
7,-3,(-6.594498162594911e-08+1.1400494333096235e-07j),1.317037118138388e-07,1.73458677055427e-14,-6.594498162594911e-08,1.1400494333096235e-07,l=7 m=-3
7,-2,(-2.049617151282834e-10-3.0104086427716e-08j),3.0104784153885956e-08,9.062980289520629e-16,-2.049617151282834e-10,-3.0104086427716e-08,l=7 m=-2
7,-1,(-1.5017430415495553e-06+5.9475307735404034e-08j),1.5029203156098234e-06,2.258769475072731e-12,-1.5017430415495553e-06,5.9475307735404034e-08,l=7 m=-1
7,0,(-4.3658292606319e-09+0j),4.3658292606319e-09,1.9060465132989683e-17,-4.3658292606319e-09,0.0,l=7 m=0
7,1,(1.5017430415495553e-06+5.947530773540884e-08j),1.5029203156098234e-06,2.258769475072731e-12,1.5017430415495553e-06,5.947530773540884e-08,l=7 m=1
7,2,(-2.0496171470891049e-10+3.010408642778394e-08j),3.010478415395104e-08,9.062980289559816e-16,-2.0496171470891049e-10,3.010408642778394e-08,l=7 m=2
